root_id	inference	model	root_kind	family	tau	fit_size	prior	signoff_reason	action_class	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	vb_elbo_tail_rel_range	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	run_root	recommended_action
root__static_paper__gausmix__tau_0p25__tt_100	vb	exal	static_paper	gausmix	0.25	100	paper	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	debug_model_then_resample
root__static_paper__gausmix__tau_0p25__tt_1000	vb	exal	static_paper	gausmix	0.25	1000	paper	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	debug_model_then_resample
root__static_paper__laplace__tau_0p25__tt_100	vb	exal	static_paper	laplace	0.25	100	paper	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	debug_model_then_resample
root__static_paper__laplace__tau_0p25__tt_1000	vb	exal	static_paper	laplace	0.25	1000	paper	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	debug_model_then_resample
root__static_paper__normal__tau_0p25__tt_100	vb	exal	static_paper	normal	0.25	100	paper	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	debug_model_then_resample
root__static_paper__normal__tau_0p25__tt_1000	vb	exal	static_paper	normal	0.25	1000	paper	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	debug_model_then_resample
root__static_shrink__gausmix__tau_0p25__tt_100__rhs	vb	exal	static_shrink	gausmix	0.25	100	rhs	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	debug_model_then_resample
root__static_shrink__gausmix__tau_0p25__tt_100__ridge	vb	exal	static_shrink	gausmix	0.25	100	ridge	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	debug_model_then_resample
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	vb	exal	static_shrink	gausmix	0.25	1000	rhs	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	debug_model_then_resample
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	vb	exal	static_shrink	gausmix	0.25	1000	ridge	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	debug_model_then_resample
root__static_shrink__laplace__tau_0p25__tt_100__rhs	vb	exal	static_shrink	laplace	0.25	100	rhs	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	debug_model_then_resample
root__static_shrink__laplace__tau_0p25__tt_100__ridge	vb	exal	static_shrink	laplace	0.25	100	ridge	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	debug_model_then_resample
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	vb	exal	static_shrink	laplace	0.25	1000	rhs	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	debug_model_then_resample
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	mcmc	exal	static_shrink	laplace	0.25	1000	rhs	non_finite_fit; low_ess; high_autocorrelation; half_chain_drift	mixed_debug_and_resample	1000	12.2087844717826	1.82873925238076	75.521268566823	0.921521869396989	0.996144001840152	0.844129096753285	0.30746950839617	0.327396952075827	0.0997638936528919	0.730833173531526	1.15125326332016	0.43757407463895	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	debug_model_then_resample
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	vb	exal	static_shrink	laplace	0.25	1000	ridge	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	debug_model_then_resample
root__static_shrink__normal__tau_0p25__tt_100__rhs	vb	exal	static_shrink	normal	0.25	100	rhs	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	debug_model_then_resample
root__static_shrink__normal__tau_0p25__tt_100__ridge	vb	exal	static_shrink	normal	0.25	100	ridge	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	debug_model_then_resample
root__static_shrink__normal__tau_0p25__tt_1000__rhs	vb	exal	static_shrink	normal	0.25	1000	rhs	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	debug_model_then_resample
root__static_shrink__normal__tau_0p25__tt_1000__rhs	mcmc	exal	static_shrink	normal	0.25	1000	rhs	non_finite_fit; low_ess; high_autocorrelation; geweke_drift; half_chain_drift	mixed_debug_and_resample	1000	14.3063161896769	1.57629509901797	75.8105163588763	0.971763068889039	0.996849222425707	0.858932182353013	6.98807516561015	14.6751371630177	0.053726815982069	1.4795686582413	1.69603027643765	0.0803909378901665	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	debug_model_then_resample
root__static_shrink__normal__tau_0p25__tt_1000__ridge	vb	exal	static_shrink	normal	0.25	1000	ridge	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	mixed_debug_and_resample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	debug_model_then_resample
