"method_profile_id","block","root_kind","prior_semantics","model","inference","fit_engine","vb_method","vb_max_iter","vb_min_iter_elbo","vb_tol","dynamic_vb_n_samp","static_vb_n_samp_xi","posterior_metric_draws","vb_sampling_nd_draws","vb_synthesis_n_samp","init_from_vb","vb_init_method","vb_init_max_iter","vb_init_min_iter_elbo","vb_init_tol","vb_init_dynamic_n_samp","vb_init_static_n_samp_xi","mcmc_n_burn","mcmc_n_mcmc","thin","mh_proposal","slice_width","slice_max_steps","exal_sigmagam_policy","rhs_tau_policy","dynamic_theta_policy","dynamic_latent_policy","dqlm_sigma_policy","first_retry_overlay","notes"
"dynamic__dqlm__mcmc","dynamic","dynamic","default","dqlm","mcmc","exdqlmMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,1000,NA,5000,20000,1,"slice",0.1,Inf,"not_applicable","not_applicable","baseline_none","baseline_none","baseline_none","dynamic_dqlm_mcmc_tt5000_first_retry","Dynamic DQLM MCMC; baseline uses shared defaults and VB warm start, with sigma-only warmup reserved for targeted retries."
"dynamic__dqlm__vb","dynamic","dynamic","default","dqlm","vb","exdqlmLDVB","ldvb",300,80,0.03,20000,NA,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not_applicable","not_applicable","baseline_none","baseline_none","not_applicable","none","Dynamic DQLM VB on p90 datasets; baseline starts from shared package defaults only."
"dynamic__exdqlm__mcmc","dynamic","dynamic","default","exdqlm","mcmc","exdqlmMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,1000,NA,5000,20000,1,"slice",0.1,Inf,"package_default_light_mcmc","not_applicable","baseline_none","baseline_none","not_applicable","dynamic_exdqlm_mcmc_tt5000_first_retry","Dynamic exDQLM MCMC; baseline uses shared light exAL MCMC warmup and explicit LDVB init, with theta/latent rescue held back for retries."
"dynamic__exdqlm__vb","dynamic","dynamic","default","exdqlm","vb","exdqlmLDVB","ldvb",300,80,0.03,20000,NA,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"package_default_light_vb","not_applicable","baseline_none","baseline_none","not_applicable","dynamic_exdqlm_vb_first_retry","Dynamic exDQLM VB; baseline uses shared light exAL VB warmup without preloading STS rescue."
"static_paper__paper__al__mcmc","static","static_paper","paper","al","mcmc","exalStaticMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,NA,1000,5000,20000,1,"slice",0.01,Inf,"package_default_light_mcmc","not_applicable","not_applicable","not_applicable","not_applicable","none","Static paper AL MCMC; baseline uses slice plus LDVB init and shared light exAL MCMC warmup."
"static_paper__paper__al__vb","static","static_paper","paper","al","vb","exalStaticLDVB","ldvb",300,80,0.03,NA,1000,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"package_default_light_vb","not_applicable","not_applicable","not_applicable","not_applicable","none","Static paper AL VB; baseline uses shared light exAL VB warmup."
"static_paper__paper__exal__mcmc","static","static_paper","paper","exal","mcmc","exalStaticMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,NA,1000,5000,20000,1,"slice",0.01,Inf,"package_default_light_mcmc","not_applicable","not_applicable","not_applicable","not_applicable","none","Static paper exAL MCMC; baseline uses slice plus LDVB init and shared light exAL MCMC warmup."
"static_paper__paper__exal__vb","static","static_paper","paper","exal","vb","exalStaticLDVB","ldvb",300,80,0.03,NA,1000,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"package_default_light_vb","not_applicable","not_applicable","not_applicable","not_applicable","none","Static paper exAL VB; baseline uses shared light exAL VB warmup."
"static_shrink__rhs_ns__al__mcmc","static","static_shrink","rhs_ns","al","mcmc","exalStaticMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,NA,1000,5000,20000,1,"slice",0.1,Inf,"package_default_light_mcmc","package_default_tau50","not_applicable","not_applicable","not_applicable","static_rhs_ns_retry_policy","Static shrink rhs_ns AL MCMC; baseline uses automatic tau warmup, slice, LDVB init, and shared light exAL MCMC warmup."
"static_shrink__rhs_ns__al__vb","static","static_shrink","rhs_ns","al","vb","exalStaticLDVB","ldvb",300,80,0.03,NA,1000,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"package_default_light_vb","package_default_tau50","not_applicable","not_applicable","not_applicable","static_rhs_ns_retry_policy","Static shrink rhs_ns AL VB; baseline uses automatic tau warmup plus shared light exAL VB warmup."
"static_shrink__rhs_ns__exal__mcmc","static","static_shrink","rhs_ns","exal","mcmc","exalStaticMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,NA,1000,5000,20000,1,"slice",0.1,Inf,"package_default_light_mcmc","package_default_tau50","not_applicable","not_applicable","not_applicable","static_rhs_ns_retry_policy","Static shrink rhs_ns exAL MCMC; baseline uses automatic tau warmup, slice, LDVB init, and shared light exAL MCMC warmup."
"static_shrink__rhs_ns__exal__vb","static","static_shrink","rhs_ns","exal","vb","exalStaticLDVB","ldvb",300,80,0.03,NA,1000,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"package_default_light_vb","package_default_tau50","not_applicable","not_applicable","not_applicable","static_rhs_ns_retry_policy","Static shrink rhs_ns exAL VB; baseline uses automatic tau warmup plus shared light exAL VB warmup."
"static_shrink__ridge__al__mcmc","static","static_shrink","ridge","al","mcmc","exalStaticMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,NA,1000,5000,20000,1,"slice",0.1,Inf,"package_default_light_mcmc","not_applicable","not_applicable","not_applicable","not_applicable","none","Static shrink ridge AL MCMC; same slice profile as the prior refreshed shrinkage relaunch."
"static_shrink__ridge__al__vb","static","static_shrink","ridge","al","vb","exalStaticLDVB","ldvb",300,80,0.03,NA,1000,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"package_default_light_vb","not_applicable","not_applicable","not_applicable","not_applicable","none","Static shrink ridge AL VB; same long-budget baseline as refreshed288, without tau warmup."
"static_shrink__ridge__exal__mcmc","static","static_shrink","ridge","exal","mcmc","exalStaticMCMC","ldvb",NA,NA,NA,NA,NA,20000,20000,20000,TRUE,"ldvb",300,80,0.03,NA,1000,5000,20000,1,"slice",0.1,Inf,"package_default_light_mcmc","not_applicable","not_applicable","not_applicable","not_applicable","none","Static shrink ridge exAL MCMC; baseline uses slice, LDVB init, and shared light exAL MCMC warmup."
"static_shrink__ridge__exal__vb","static","static_shrink","ridge","exal","vb","exalStaticLDVB","ldvb",300,80,0.03,NA,1000,20000,20000,20000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"package_default_light_vb","not_applicable","not_applicable","not_applicable","not_applicable","none","Static shrink ridge exAL VB; baseline uses shared light exAL VB warmup."
